run_id,step,state,rate_Mbps,iperf_returncode,iperf_stderr,iperf_stdout_snippet,duration_s,bytes_sent,achieved_Mbps,wall_start,wall_end,wall_duration
20251003_162300,1,0,0,,,,0.0,0,0.0,1759519380.3661392,1759519380.36614,7.152557373046875e-07
20251003_162300,2,1,10,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	40473,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:00 GMT"",
			""timesecs"":	1759519380
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""ea2rjspfxjwze5v6hmedqffg7wb3orsalkl5"",
		""target_bitrate"":	10000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	10000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.000381,
					""seconds"":	1.0003809928894043,
					""bytes"":	1277952,
					""bits_per_second"":	10219722.358449744,
					""packets"":	39,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.000381,
				""seconds"":	1.0003809928894043,
				""bytes"":	1277952,
				""bits_per_second"":	10219722.358449744,
				""packets"":	39,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.000381,
					""end"":	2.001079,
					""seconds"":	1.00069797039032,
					""bytes"":	1245184,
					""bits_per_second"":	9954524.0369724669,
					""packets"":	38,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.000381,
				""end"":	2.001079,
				""seconds"":	1.00069797039032,
				""bytes"":	1245184,
				""bits_per_second"":	9954524.0369724669,
				""packets"":	38,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001079,
					""end"":	3.001082,
					""seconds"":	1.0000029802322388,
					""bytes",5.000618,6258688,10.012663234824174,1759519380.3671255,1759519385.3724205,5.005295038223267
20251003_162300,3,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	40777,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:05 GMT"",
			""timesecs"":	1759519385
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""twm4bxgnxdccbwtxdjmvzz2jqxtldfmjr27h"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.001039,
					""seconds"":	1.0010390281677246,
					""bytes"":	6258688,
					""bits_per_second"":	50017534.372906417,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.001039,
				""seconds"":	1.0010390281677246,
				""bytes"":	6258688,
				""bits_per_second"":	50017534.372906417,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.001039,
					""end"":	2.001032,
					""seconds"":	0.99999302625656128,
					""bytes"":	6258688,
					""bits_per_second"":	50069853.174310051,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.001039,
				""end"":	2.001032,
				""seconds"":	0.99999302625656128,
				""bytes"":	6258688,
				""bits_per_second"":	50069853.174310051,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001032,
					""end"":	3.000607,
					""seconds"":	0.99957501888275146,
",5.001202,31260672,50.005053985022,1759519385.374772,1759519390.3888912,5.0141191482543945
20251003_162300,4,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	52747,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:10 GMT"",
			""timesecs"":	1759519390
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""kruhvx2l66nu4ynolwfxpuaknzqmplbhx5fc"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.001073,
					""seconds"":	1.0010730028152466,
					""bytes"":	6258688,
					""bits_per_second"":	50015836.866235614,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.001073,
				""seconds"":	1.0010730028152466,
				""bytes"":	6258688,
				""bits_per_second"":	50015836.866235614,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.001073,
					""end"":	2.001072,
					""seconds"":	0.99999898672103882,
					""bytes"":	6258688,
					""bits_per_second"":	50069554.7344264,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.001073,
				""end"":	2.001072,
				""seconds"":	0.99999898672103882,
				""bytes"":	6258688,
				""bits_per_second"":	50069554.7344264,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001072,
					""end"":	3.000389,
					""seconds"":	0.9993169903755188,
					",5.000641,31260672,50.01066383289662,1759519390.391968,1759519395.3987088,5.0067408084869385
20251003_162300,5,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	44312,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:15 GMT"",
			""timesecs"":	1759519395
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""ekte4lgzjanyomsr2uzposqsuhh3y6kntbrt"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.001029,
					""seconds"":	1.0010290145874023,
					""bytes"":	6258688,
					""bits_per_second"":	50018034.7126475,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.001029,
				""seconds"":	1.0010290145874023,
				""bytes"":	6258688,
				""bits_per_second"":	50018034.7126475,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.001029,
					""end"":	2.000608,
					""seconds"":	0.99957901239395142,
					""bytes"":	6258688,
					""bits_per_second"":	50090591.5182088,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.001029,
				""end"":	2.000608,
				""seconds"":	0.99957901239395142,
				""bytes"":	6258688,
				""bits_per_second"":	50090591.5182088,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.000608,
					""end"":	3.000656,
					""seconds"":	1.000048041343689,
					""byte",5.000967,31260672,50.007403768111246,1759519395.399273,1759519400.4137697,5.014496803283691
20251003_162300,6,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	43539,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:20 GMT"",
			""timesecs"":	1759519400
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""l547y6nloryuvpkb7hgfev4sjqy5t4xx65b2"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.000618,
					""seconds"":	1.0006179809570312,
					""bytes"":	6258688,
					""bits_per_second"":	50038581.1097573,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.000618,
				""seconds"":	1.0006179809570312,
				""bytes"":	6258688,
				""bits_per_second"":	50038581.1097573,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.000618,
					""end"":	2.001044,
					""seconds"":	1.0004260540008545,
					""bytes"":	6258688,
					""bits_per_second"":	50048180.772346452,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.000618,
				""end"":	2.001044,
				""seconds"":	1.0004260540008545,
				""bytes"":	6258688,
				""bits_per_second"":	50048180.772346452,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001044,
					""end"":	3.000331,
					""seconds"":	0.99928700923919678,
					""",5.001477,31260672,50.002304519245016,1759519400.4143784,1759519405.429442,5.015063524246216
20251003_162300,7,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	59458,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:25 GMT"",
			""timesecs"":	1759519405
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""vpyrhp25wvzlchdzda6h2xjc4ljmzi3exm37"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.00112,
					""seconds"":	1.0011199712753296,
					""bytes"":	6258688,
					""bits_per_second"":	50013490.327454276,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.00112,
				""seconds"":	1.0011199712753296,
				""bytes"":	6258688,
				""bits_per_second"":	50013490.327454276,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.00112,
					""end"":	2.001114,
					""seconds"":	0.99999397993087769,
					""bytes"":	6258688,
					""bits_per_second"":	50069805.4236896,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.00112,
				""end"":	2.001114,
				""seconds"":	0.99999397993087769,
				""bytes"":	6258688,
				""bits_per_second"":	50069805.4236896,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001114,
					""end"":	3.000754,
					""seconds"":	0.99963998794555664,
					""by",5.001446,31260672,50.00261444390283,1759519405.4300861,1759519410.4426866,5.012600421905518
20251003_162300,8,2,50,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	60377,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:30 GMT"",
			""timesecs"":	1759519410
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""bvlvvghyyzhlncka624l2fq24cpo4s64goyn"",
		""target_bitrate"":	50000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	50000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.000737,
					""seconds"":	1.0007369518280029,
					""bytes"":	6258688,
					""bits_per_second"":	50032632.360122412,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.000737,
				""seconds"":	1.0007369518280029,
				""bytes"":	6258688,
				""bits_per_second"":	50032632.360122412,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.000737,
					""end"":	2.000631,
					""seconds"":	0.99989402294158936,
					""bytes"":	6258688,
					""bits_per_second"":	50074810.781147055,
					""packets"":	191,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.000737,
				""end"":	2.000631,
				""seconds"":	0.99989402294158936,
				""bytes"":	6258688,
				""bits_per_second"":	50074810.781147055,
				""packets"":	191,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.000631,
					""end"":	3.000633,
					""seconds"":	1.0000020265579224,
	",5.001362,31260672,50.00345425905983,1759519410.443132,1759519415.4556332,5.012501239776611
20251003_162300,9,1,10,0,,"{
	""start"":	{
		""connected"":	[{
				""socket"":	5,
				""local_host"":	""127.0.0.1"",
				""local_port"":	60354,
				""remote_host"":	""127.0.0.1"",
				""remote_port"":	5201
			}],
		""version"":	""iperf 3.19.1"",
		""system_info"":	""Linux algo 6.15.6-1-default #1 SMP PREEMPT_DYNAMIC Fri Jul 11 05:06:35 UTC 2025 (a69e09e) x86_64"",
		""timestamp"":	{
			""time"":	""Fri, 03 Oct 2025 19:23:35 GMT"",
			""timesecs"":	1759519415
		},
		""connecting_to"":	{
			""host"":	""127.0.0.1"",
			""port"":	5201
		},
		""cookie"":	""k45h3c4eb2tv2bj7hkoxo7xhm5357gy2uqdr"",
		""target_bitrate"":	10000000,
		""fq_rate"":	0,
		""sock_bufsize"":	0,
		""sndbuf_actual"":	212992,
		""rcvbuf_actual"":	212992,
		""test_start"":	{
			""protocol"":	""UDP"",
			""num_streams"":	1,
			""blksize"":	32768,
			""omit"":	0,
			""duration"":	5,
			""bytes"":	0,
			""blocks"":	0,
			""reverse"":	0,
			""tos"":	0,
			""target_bitrate"":	10000000,
			""bidir"":	0,
			""fqrate"":	0,
			""interval"":	1
		}
	},
	""intervals"":	[{
			""streams"":	[{
					""socket"":	5,
					""start"":	0,
					""end"":	1.001027,
					""seconds"":	1.00102698802948,
					""bytes"":	1277952,
					""bits_per_second"":	10213127.240580369,
					""packets"":	39,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	0,
				""end"":	1.001027,
				""seconds"":	1.00102698802948,
				""bytes"":	1277952,
				""bits_per_second"":	10213127.240580369,
				""packets"":	39,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	1.001027,
					""end"":	2.001036,
					""seconds"":	1.0000089406967163,
					""bytes"":	1245184,
					""bits_per_second"":	9961382.9382962734,
					""packets"":	38,
					""omitted"":	false,
					""sender"":	true
				}],
			""sum"":	{
				""start"":	1.001027,
				""end"":	2.001036,
				""seconds"":	1.0000089406967163,
				""bytes"":	1245184,
				""bits_per_second"":	9961382.9382962734,
				""packets"":	38,
				""omitted"":	false,
				""sender"":	true
			}
		}, {
			""streams"":	[{
					""socket"":	5,
					""start"":	2.001036,
					""end"":	3.001029,
					""seconds"":	0.99999302625656128,
